3,9,62.2,-7.6,2
6,2,61.8,-7.2,1
12,2,61.5,-7.2,1
13,2,61.5,-7.2,3
14,2,61.5,-7.2,3
15,2,61.5,-7.2,2
16,2,61.5,-7.2,1
17,2,61.5,-7.2,1
18,2,61.5,-7.2,1
19,3,61.5,-7.2,1
20,3,61.5,-7.2,1
21,3,61.5,-7.2,1
22,3,61.5,-7.2,1
23,3,61.5,-7.2,1
24,3,61.5,-7.2,1
26,2,62.7,-7.2,2
27,2,62.7,-7.2,2
28,2,62.7,-7.2,2
29,2,62.6,-6.6,2
30,2,62.6,-6.6,1
32,2,62.7,-7.1,2
33,2,62.7,-7.1,2
34,2,62.7,-7.1,1
35,2,62.7,-7.1,3
36,2,62.6,-7.6,1
37,2,62.6,-7.6,1
38,2,62.6,-7.6,1
39,2,62.6,-7.6,1
40,2,62.6,-7.6,1
41,2,62.6,-7.6,1
42,3,62.6,-7.6,1
43,3,62.6,-7.6,1
44,3,62.6,-7.6,1
45,3,62.6,-7.6,1
46,4,62.6,-7.6,1
47,5,62.6,-7.6,1
48,5,62.6,-7.6,1
49,6,62.6,-7.6,1
50,2,62.7,-6.2,1
51,2,62.7,-6.2,1
52,2,62.7,-6.2,2
53,2,62.7,-6.2,1
54,2,62.7,-6.2,3
55,2,62.7,-6.2,2
56,2,62.7,-6.2,1
57,2,62.7,-6.2,1
58,2,62.7,-7.6,1
59,2,62.7,-7.6,1
60,2,62.7,-7.4,1
61,3,61.4,-5.7,1
62,3,62.5,-5.3,1
63,3,62.5,-5.3,1
64,2,62.4,-5,2
65,2,62.4,-5,2
66,2,62.6,-5.9,1
67,2,62.6,-5.9,1
68,10,62.3,-5.7,1
69,2,62.3,-5.2,1
70,6,62.3,-5.2,1
71,2,62.5,-6,1
72,2,62.5,-6,2
73,3,62.2,-5.5,1
74,3,62.2,-5.5,1
75,2,62.2,-5.4,1
76,2,62.2,-5.4,1
77,2,62.2,-5.4,1
78,10,62.2,-5.4,1
79,2,61.6,-5.9,1
80,3,61.5,-6.1,1
81,3,61.5,-6.1,1
82,4,61.5,-6.1,1
83,2,61.9,-4.9,2
84,2,61.9,-4.9,1
85,2,61.9,-4.9,1
86,4,61.9,-4.9,1
87,3,61.7,-5.4,1
88,2,61.5,-4.8,1
89,2,61.5,-4.8,1
90,2,61.5,-4.8,1
91,2,61.2,-6.8,1
92,2,61.5,-7.4,1
93,6,61.5,-7.4,1
94,6,61.5,-7.4,2
95,7,61.5,-7.4,1
96,7,61.5,-7.4,1
97,9,61.5,-7.4,1
98,9,61.5,-7.4,1
99,10,61.5,-7.4,1
100,10,61.5,-7.4,1
101,10,61.5,-7.4,1
102,5,60.9,-6.2,1
103,6,60.9,-6.2,1
104,6,60.8,-6.8,1
105,2,60.7,-6.8,1
106,10,60.7,-6.4,1
107,4,61,-7,1
108,6,61,-7,1
109,6,61,-7,2
110,7,61,-7,1
111,7,61,-7,1
112,2,61.9,-7.9,1
113,5,61.8,-8.5,1
114,10,61.7,-7.4,1
117,2,62.2,-8.4,1
118,6,62.2,-8.4,1
119,6,62.2,-8.4,2
120,8,62.2,-8.4,1
121,9,62.2,-8.4,1
122,10,62.2,-8.4,1
123,2,62.2,-8.7,1
124,5,62.2,-8.7,1
125,2,61,-8.9,1
126,9,61,-9.1,1
127,10,61,-9.1,1
128,10,61,-9.1,1
129,2,60.9,-8.8,1
130,2,60.9,-8.8,1
131,4,60.9,-8.8,1
132,4,60.9,-8.8,1
133,3,61,-8.2,1
134,4,60.9,-9,1
135,10,61.2,-8.2,1
136,7,60.7,-8.8,1
137,8,60.7,-8.8,1
138,8,60.7,-8.8,1
139,9,60.7,-8.8,1
140,10,60.7,-8.8,1
141,10,60.7,-8.8,1
142,10,60.7,-8.8,1
143,10,60.7,-8.9,1
144,2,61.1,-8.4,1
388,3,62.7,-7.1,3
390,2,62.6,-6.6,2
391,2,62.6,-6.6,3
392,2,62.6,-6.6,4
393,2,62.7,-6.2,2
394,3,62.7,-7.4,2
395,7,62.7,-7.4,2
396,2,62.3,-5.8,5
397,2,62.2,-5.6,2
398,4,61,-7,2
399,3,61,-8.1,2
426,4,62.6,-7.6,3
429,6,62.5,-6,1
432,6,62.4,-5.9,1
433,9,62.4,-5.9,1
434,7,62.2,-7.6,23
435,8,62.2,-7.6,11
438,10,62.5,-7.5,4
439,10,62.4,-7.1,1
441,2,62.7,-7.2,1
442,10,62.6,-7.1,1
443,10,62.6,-7.1,1
444,10,62.6,-6.6,1
445,10,62.5,-7.6,3
446,10,62.5,-7.6,6
448,2,62.7,-7,1
449,3,62.7,-7.1,4
450,8,62.7,-7,3
451,9,62.7,-7,1
452,3,62.6,-7.6,2
453,4,62.6,-7.6,4
454,5,62.6,-7.6,6
455,5,62.6,-7.6,2
456,6,62.6,-7.6,3
457,7,62.6,-7.6,2
458,3,62.7,-6.2,3
459,3,62.7,-6.2,3
460,6,62.7,-6.2,3
461,6,62.7,-6.2,4
462,7,62.7,-6.2,1
463,8,62.7,-6.2,1
464,8,62.7,-6.2,1
465,9,62.7,-6.2,1
466,9,62.7,-6.2,1
467,10,62.7,-6.2,1
468,2,62.7,-7.6,1
469,8,62.7,-7.6,2
470,10,62.7,-7.6,1
471,2,62.7,-7.4,1
472,6,62.7,-7.4,1
473,7,62.7,-7.4,2
474,8,62.7,-7.4,1
475,3,61.4,-5.8,1
476,4,62.5,-5.3,2
477,5,62.5,-5.3,1
480,4,62.4,-5,2
481,4,62.4,-5,1
486,2,62.3,-5.8,4
491,2,62.5,-5.9,1
492,2,62.3,-4.1,1
493,4,62.3,-4.1,1
495,3,62.1,-5.3,1
499,9,62,-6.2,1
501,2,62,-4.9,1
502,5,62,-4.9,1
505,3,62,-4.9,1
506,4,62,-4.9,1
507,2,61.8,-5.5,1
508,2,61.8,-5.5,1
509,2,61.8,-5.2,1
510,3,61.8,-5.2,1
511,2,61.7,-5.4,1
512,2,61.7,-5.4,2
513,2,62.2,-5.4,1
514,2,62.2,-5.4,2
515,2,62.2,-5.4,1
516,3,62.2,-5.4,2
517,3,62.2,-5.4,2
518,7,62.2,-5.4,2
519,7,62.2,-5.4,1
520,10,62.2,-5.4,1
522,2,61.6,-5.9,1
523,2,61.6,-5.9,1
524,2,61.5,-6.1,1
525,3,61.5,-6.1,1
526,3,61.5,-6.1,1
527,4,61.5,-6.1,2
528,4,61.5,-6.1,1
529,2,61.9,-4.7,1
530,2,61.9,-4.7,1
531,2,61.9,-4.7,1
532,3,61.9,-4.7,1
533,4,61.9,-4.7,1
534,2,61.7,-5.4,1
535,2,61.7,-5.4,1
536,4,61.7,-5.4,1
537,4,61.7,-5.4,1
538,2,61,-6.9,2
539,2,61,-6.9,1
540,4,61,-6.9,2
541,2,61.1,-6.6,2
542,2,61.4,-7.5,1
543,2,61.4,-7.5,2
544,3,61.4,-7.5,1
545,3,61.4,-7.5,1
547,2,60.9,-6.2,1
548,3,60.8,-6.7,1
549,4,60.8,-6.7,1
550,4,60.7,-6.5,1
551,6,60.7,-6.5,1
552,8,60.7,-6.5,1
553,8,60.7,-6.5,1
554,9,60.7,-6.5,1
555,5,61,-7,1
556,6,61,-7,1
559,6,61.8,-8.5,1
560,7,61.7,-7.4,1
561,4,61.7,-7.8,1
563,7,62.3,-7.9,19
564,7,62.3,-7.9,19
565,7,62.3,-7.6,78
570,2,62.2,-8.7,1
571,2,62.2,-8.7,1
572,4,62.2,-8.7,3
573,5,61.2,-8.7,3
574,5,61.2,-8.7,5
575,6,61.2,-8.7,1
576,7,61.2,-8.7,1
577,8,61.2,-8.7,1
578,3,61.1,-8.1,1
579,6,61.1,-8.1,2
580,8,61.1,-8.1,1
581,10,61.1,-8.1,1
582,10,61,-8.9,1
583,3,61,-8.4,1
584,3,61,-8.2,1
585,3,61,-8.4,1
586,3,60.9,-9.3,1
587,8,60.9,-9.3,1
588,10,60.9,-9.3,1
589,2,60.9,-9,1
590,8,60.9,-9,1
591,10,60.9,-9,1
592,6,60.9,-8.3,1
593,6,60.9,-8.3,4
594,6,60.9,-8.3,3
595,6,60.9,-8.3,2
596,6,60.9,-8.3,1
597,7,60.9,-8.3,1
598,8,60.9,-8.3,3
599,8,60.9,-8.3,1
600,8,60.9,-8.3,2
601,8,60.9,-8.3,3
602,8,60.9,-8.3,2
603,9,60.9,-8.3,1
604,10,60.9,-8.3,1
605,10,60.9,-8.3,1
606,10,60.9,-8.3,2
607,10,60.9,-8.3,2
608,3,61.1,-8.4,1
730,4,62.6,-7.6,3
731,4,62.6,-7.6,6
732,4,62.6,-7.6,3
733,5,62.6,-7.6,6
734,5,62.6,-7.6,3
735,3,62.4,-5,3
739,5,62.2,-7.6,241
740,6,62.2,-7.6,80
741,7,62.2,-7.6,57
742,8,62.2,-7.6,12
743,9,62.5,-7.4,7
744,7,62.7,-7.2,3
745,10,62.5,-7.6,7
746,6,62.7,-6.2,5
747,2,61.4,-5.8,3
748,3,61.4,-5.7,2
749,4,61.4,-5.2,2
750,4,62.4,-5,2
751,5,62.4,-5,2
752,4,62.2,-5.6,6
753,4,62.2,-5.6,2
754,2,62.2,-5.4,2
755,4,62.2,-5.4,3
756,7,62.2,-5.4,2
757,4,61.1,-6.4,2
758,5,61,-6.9,2
759,5,61,-7,2
760,4,61.5,-7.4,2
761,5,60.8,-6.8,2
762,5,61,-7,2
764,5,61.7,-7.8,2
765,5,62.2,-8.4,2
766,6,62.2,-8.4,2
767,5,62,-7.9,3
768,6,62,-7.9,3
769,9,62.2,-8.7,2
770,3,61,-8.8,2
771,4,61,-8.8,2
772,3,61,-8.1,2
788,5,62.4,-6.7,4
789,6,62.7,-6.2,6
790,6,62.7,-6.2,3
791,6,62.3,-7.9,43
792,6,62.3,-7.6,7
794,7,62.5,-7.5,32
795,4,62.7,-6.2,7
799,3,62.7,-6.2,5
1202,5,62.5,-6.5,6
1203,6,62.5,-6.5,2
1204,6,62.5,-6.5,6
1205,6,62.5,-6.5,1
1206,7,62.5,-6.5,2
1207,8,62.5,-6.5,2
1208,8,62.5,-6.5,1
1209,9,62.5,-6.5,2
1210,8,62.5,-6,1
1211,8,62.4,-7.3,1
1212,5,62.4,-6.9,4
1213,6,62.4,-6.9,1
1214,6,62.4,-6.9,1
1215,7,62.4,-6.9,1
1216,8,62.4,-6.9,1
1217,9,62.4,-6.9,1
1218,10,62.4,-6.9,1
1219,10,62.4,-6.9,1
1220,10,62.4,-6.9,1
1221,5,62.4,-6.8,3
1222,6,62.4,-6.8,3
1223,6,62.4,-6.8,2
1224,6,62.4,-6.8,2
1225,7,62.4,-6.8,3
1226,7,62.4,-6.8,1
1227,7,62.4,-6.8,4
1228,8,62.4,-6.8,3
1229,10,62.4,-6.8,1
1230,10,62.4,-6.8,1
1231,7,62.4,-6,2
1232,7,62.4,-6,1
1233,9,62.4,-6,1
1234,10,62.4,-6,1
1235,6,62.4,-5.9,2
1236,7,62.4,-5.9,2
