Year,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Total Amount,Total Weight,Total Spawn Amount,Total Spawn Weight,Caught Age 2,Caught Age 3,Caught Age 4,Caught Age 5,Caught Age 6,Caught Age 7,Caught Age 8,Caught Age 9,Total Caught,1_,Revenue,Expenses,Accumulated Profit
2001,21.9011652757507,18.1902495729312,14.8955714062782,9.98874033850847,6.51570413348975,4.16666162410338,2.66401314247999,1.71816461521761,1.11284585769844,81.1531159664578,201.692252640565,47.1777116229858,145.890423072577,0,0,0,0,0,0,0,0,0,1_,0,0,0
2002,20.0301733731021,17.9311575395007,14.8929167315224,12.195462394989,8.17808889964746,5.33460735204538,3.41137400932329,2.18110948635228,1.40671420932906,85.5616039958117,230.766515926725,53.5872685066548,177.033607644127,0,0,0,0,0,0,0,0,0,1_,0,0,0
2003,8.42548907842364,16.3993189300424,14.6807901158754,12.193288931127,9.98480011078358,6.69565288354705,4.36760709471545,2.79299681168391,1.78574141230673,77.3256853685051,244.887055009883,57.7643788018852,204.196202176337,0,0,0,0,0,0,0,0,0,1_,0,0,0
2004,1.40184784019075,6.8982070182281,13.4266267375596,12.0196143473504,9.98302062907903,8.17486291403496,5.48193692769523,3.57589424580512,2.28671238297437,63.2487230429176,245.843358507226,55.7124463461009,221.007643040283,0,0,0,0,0,0,0,0,0,1_,0,0,0
2005,0.24026402034465,1.14773593790012,5.64777422692171,10.9927922201392,9.84082790631313,8.1734059976389,6.6930116699171,4.48823034913792,2.92769458879525,50.1517369171079,237.303389465531,48.2080500824289,228.521350543148,0,0,0,0,0,0,0,0,0,1_,0,0,0
2006,0.0788181915910587,0.196711542314319,0.939686708771625,4.62400644602203,9.00013705282432,8.05698844264656,6.69181884765899,5.47977448487095,3.67465221373714,38.742593930437,215.458403010506,38.3774826259345,213.95407723825,0,0,0,0,0,0,0,0,0,1_,0,0,0
2007,0.0477595850494024,0.0645308773575921,0.161053789178134,0.769350406729963,3.78581627978906,7.36868898706391,6.59650421518862,5.47879788460528,4.4864598906959,28.7589619156579,183.420107232406,28.646726134094,183.104916336056,0,0,0,0,0,0,0,0,0,1_,0,0,0
2008,0.125964804851784,0.0391022410341891,0.0528334138157643,0.131859690099876,0.629890837882874,3.09956421376658,6.03297228357626,5.40076086378346,4.48566031802493,19.9986086668357,143.029702121723,19.8425260587037,142.802557193306,0,0,0,0,0,0,0,0,0,1_,0,0,0
2009,0.951613342360913,0.103131259537622,0.0320142072489584,0.0432563406810613,0.107957583376101,0.515711000056767,2.53770854295067,4.93937994103098,4.42176900919952,13.6525412264426,103.291102050284,12.6429594128631,102.218600941412,0,0,0,0,0,0,0,0,0,1_,0,0,0
2010,9.72284758272601,0.779115108430206,0.0844367337871183,0.0262110160101343,0.0354152963812031,0.0883881935379939,0.422228455447076,2.07770002646243,4.04402225885858,17.2803646716407,71.3309279551635,7.15107218794221,60.9089100831643,0,0,0,0,0,0,0,0,0,1_,0,0,0
2011,22.2496137450887,7.9603943234677,0.637885499459496,0.0691309506409724,0.0214597648769163,0.0289955922766623,0.0723661322585641,0.345691421299137,1.70107690733573,33.0866143367039,56.1492488146454,6.72922632998943,27.061815047691,0,0,0,0,0,0,0,0,0,1_,0,0,0
2012,15.1087364908059,18.2164430172107,6.5174196392504,0.522256475349998,0.0565996352792801,0.0175697694585541,0.0237395831006139,0.0592483779613951,0.283028197692841,40.8050411861096,61.0570918464808,15.2845992588483,23.4223323833864,0,0,0,0,0,0,0,0,0,1_,0,0,0
2013,6.76069149573995,12.0441865135957,14.5632973155924,5.27517255125173,0.424895325556974,0.0462692164959105,0.0143702869159624,0.0194289944823552,0.0485084691069819,39.196820168738,75.0743355798312,23.5013759530817,39.4744198496888,0.229951399428763,0.430128637393964,0.132206736012349,0.00527956523331974,0.000316245272403941,2.42220285534867E-05,2.18108920688657E-05,2.02235815783487E-05,0.797948839842999,1_,95.5562245655571,100,-4.44377543444287
2014,5.85240171991604,5.38940032378769,9.62883198197494,11.7874727280515,4.29175369636387,0.347344531626213,0.037843519688262,0.0117609573856786,0.0159071152840866,37.3627165740782,93.83427809137,26.8898482958734,70.8446146331273,0.10289612711808,0.284388644298842,0.295418449362472,0.0533274720676019,0.00237406367215792,6.37876487654058E-05,1.32027919611859E-05,6.63180779658167E-06,0.738488378767677,1_,85.6653622771153,100,-18.7784131573275
2015,9.85181047981414,4.6653416657343,4.30860400100702,7.79353685713737,9.59000471736211,3.50843393149705,0.284092548279233,0.030971964928783,0.0096290574972947,40.0424252232573,110.695220091423,26.9962231103746,91.4847019209383,0.0890721713448992,0.127255107676687,0.19532215484204,0.119161243835261,0.0239797802600695,0.000478855979459162,3.47689729818943E-05,4.0144336319845E-06,0.555308097345031,1_,105.659977075613,100,-13.1184360817146
2016,17.4337674848806,7.85353844695646,3.7297488698929,3.48736629193631,6.34063441326306,7.83966190373787,2.86954261638102,0.232507560457231,0.0253577001704474,49.8121252876759,132.771095272268,27.7056388053385,104.374715489116,0.14994222767197,0.110158555748983,0.0874006130144475,0.0787859761967787,0.0535832720340426,0.00483679578535214,0.000261011824926578,1.05718347224142E-05,0.484979024111223,1_,140.046512816183,100,26.9280767344683
2017,21.3914675229336,13.8976245532072,6.27858112993872,3.01884333840196,2.83723746068572,5.18335824853075,6.41204718972589,2.34849649314644,0.190361090069473,61.5580170266398,161.790625366647,31.9620210011148,121.437069092091,0.265337821789632,0.185438605534514,0.075658458642844,0.0352542834790497,0.0354277134003059,0.0108079115625259,0.00263641042168423,7.93631113336717E-05,0.610640567941889,1_,179.866180927414,100,106.794257661882
2018,22.241622970936,17.0525725167369,11.1105794999393,5.08185764777134,2.45605843798526,2.31939223055086,4.23946059140478,5.24775978338744,1.92278630243478,71.6720899811468,195.896042257691,38.6820648518544,145.754601779285,0.325573081225348,0.328152225241568,0.127361864652526,0.0305179180853328,0.0158528041603422,0.00714587927832691,0.00589110889617808,0.000801625496761438,0.841296507036383,1_,201.891070776758,100,208.68532843864
