Year,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Total Amount,Total Weight,Total Spawn Amount,Total Spawn Weight,Caught Age 2,Caught Age 3,Caught Age 4,Caught Age 5,Caught Age 6,Caught Age 7,Caught Age 8,Caught Age 9,Total Caught,1_,Revenue,Expenses,Accumulated Profit
2019,19.1707128027107,17.7302884056547,13.6328306970966,8.99285718133091,4.13447733364521,2.00778501545131,1.89702727188845,3.46966735218008,4.29650231942514,75.3321483793831,213.188166994904,44.5697252344257,162.179088139901,0.33851224626533,0.40264720032094,0.225379603002153,0.0513732241230195,0.0137230013219712,0.00319755959050367,0.00389503122263964,0.00179124731738756,1.04051911316394,1_,205.709271997215,100,314.394600435854
2020,8.48040716125838,15.2822600840865,14.1746366894347,11.0343568881284,7.31637262551558,3.37986324300389,1.64216421881154,1.55256864630639,2.84072336418049,65.7033529207258,195.218894616914,46.7468883795373,155.999286494959,0.291773719113629,0.418649501734285,0.276543808567679,0.090910076492486,0.0231010130043223,0.00276797177608081,0.0017429058001353,0.00118432104237972,1.106673317531,1_,199.403938713614,100,413.798539149468
2021,3.4902962957823,6.76030094399908,12.2175386846099,11.4728924216811,8.97728775722909,5.98100725038875,2.76438485167683,1.34398314457281,1.27113569699569,54.2788270469355,184.084667074345,44.9648725422317,158.908292459494,0.129069793204994,0.360846390267183,0.28753441616452,0.111547888342721,0.0408795611941325,0.00465954571413356,0.00150874875873139,0.000529946975004485,0.936576290621421,1_,175.276406821155,100,489.074945970623
2022,4.97618885022695,2.78234911302446,5.40458268923973,9.88882537573148,9.33406973522622,7.33877645563872,4.89185646045529,2.26243307654997,1.10036033208021,47.9794420881731,187.054134628335,40.5311621435859,172.640951485974,0.0531214849186477,0.159624962495049,0.247834419295218,0.115981106628753,0.0501597722003835,0.00824553382668287,0.00253979606049492,0.000458749314317159,0.637965824739547,1_,168.880736632925,100,557.955682603548
2023,4.22143346749466,3.96685365950226,2.22437373369034,4.37444691784903,8.04531083043376,7.63043951142226,6.00237376639529,4.00360241272316,1.85232353655229,42.3211578360631,186.830763781127,35.6714227920792,176.609041791186,0.0757364185038123,0.0656971304227079,0.109632688456962,0.0999675468209247,0.0521532587884821,0.0101173810661239,0.00449442405214837,0.000772248987457097,0.418571097098619,1_,175.566199525295,100,633.521882128843
2024,1.8475602958509,3.36518755676099,3.17133642370228,1.80039891754433,3.55894495333073,6.57690154280033,6.24092452281146,4.91247408575226,3.27787241839366,34.7516007169469,176.18376222395,30.5871793579751,167.499293724293,0.0642492199156778,0.0936657808382742,0.0451217210614697,0.0442219081094225,0.0449524365765006,0.0105194734715963,0.00551471884830419,0.00136657209508312,0.309611830916328,1_,157.598024961781,100,691.119907090624
2025,1.44000739335423,1.47281414378254,2.69032910901102,2.56686660965461,1.46476131998126,2.90937554155883,5.37923746871147,5.10770924681334,4.02199360770402,27.0530944405713,151.776877812376,24.3386141535236,145.57341222293,0.028119431152861,0.079459175262546,0.064330986890845,0.0182004895675126,0.0198852786008805,0.00906704537808377,0.00573388886401541,0.00167680236730645,0.226473098084051,1_,119.117934954828,100,710.237842045452
2026,2.53698761093472,1.14792640913879,1.1774543606702,2.17754127480438,2.08834102638864,1.19741687900697,2.37957369771456,4.40248569892414,4.18183863814686,21.2895655957293,119.891343067537,17.9431239080911,114.892072719237,0.0219165722753239,0.0347762480414655,0.0545736886664958,0.0259488208390711,0.00818421956888132,0.00401092214708281,0.0049422084349843,0.0017434430812388,0.156096123054543,1_,85.3804978560645,100,695.618339901517
2027,8.55399307681357,2.02240286521467,0.917719972934019,0.953026698841423,1.77159528419768,1.70718243307551,0.97936538950822,1.94749520441487,3.6044504316952,22.4572313566952,89.8815823579372,12.7084928526875,78.5626879690223,0.0386123519874001,0.027104963451148,0.0238848204418547,0.02201307547383,0.0116684140013243,0.00165078237948153,0.00218624837979661,0.00150272516722261,0.128623381282058,1_,62.0373906397523,100,657.655730541269
2028,21.0236306789004,6.81896120935349,1.61682794990221,0.742798757625159,0.775359633784035,1.44824830307138,1.39630183759991,0.801534073632188,1.59447421532635,36.2181366591951,78.1630298628365,11.4616597856375,49.8262922650541,0.130189753452528,0.047753196815348,0.0186160733711635,0.00963428289186205,0.00989862620980051,0.00235355516402825,0.000899798143716942,0.000664749474923847,0.220010035523371,1_,68.8815927002401,100,626.537323241509
