Year,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Total Amount,Total Weight,Total Spawn Amount,Total Spawn Weight,Caught Age 2,Caught Age 3,Caught Age 4,Caught Age 5,Caught Age 6,Caught Age 7,Caught Age 8,Caught Age 9,Total Caught
2001,21.9011652757507,18.1902495729312,14.8955714062782,9.98874033850847,6.51570413348975,4.16666162410338,2.66401314247999,1.71816461521761,1.11284585769844,81.1531159664578,201.692252640565,47.1777116229858,145.890423072577,0,0,0,0,0,0,0,0,0
2002,20.0301733731021,17.9311575395007,14.8929167315224,12.195462394989,8.17808889964746,5.33460735204538,3.41137400932329,2.18110948635228,1.40671420932906,85.5616039958117,230.766515926725,53.5872685066548,177.033607644127,0,0,0,0,0,0,0,0,0
2003,8.42548907842364,16.3993189300424,14.6807901158754,12.193288931127,9.98480011078358,6.69565288354705,4.36760709471545,2.79299681168391,1.78574141230673,77.3256853685051,244.887055009883,57.7643788018852,204.196202176337,0,0,0,0,0,0,0,0,0
2004,1.40184784019075,6.8982070182281,13.4266267375596,12.0196143473504,9.98302062907903,8.17486291403496,5.48193692769523,3.57589424580512,2.28671238297437,63.2487230429176,245.843358507226,55.7124463461009,221.007643040283,0,0,0,0,0,0,0,0,0
2005,0.24026402034465,1.14773593790012,5.64777422692171,10.9927922201392,9.84082790631313,8.1734059976389,6.6930116699171,4.48823034913792,2.92769458879525,50.1517369171079,237.303389465531,48.2080500824289,228.521350543148,0,0,0,0,0,0,0,0,0
