Year,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Total Amount,Total Weight,Total Spawn Amount,Total Spawn Weight,Caught Age 2,Caught Age 3,Caught Age 4,Caught Age 5,Caught Age 6,Caught Age 7,Caught Age 8,Caught Age 9,Total Caught,1_,Revenue,Expenses,Accumulated Profit
2001,21.9011652757507,18.1902495729312,14.8955714062782,9.98874033850847,6.51570413348975,4.16666162410338,2.66401314247999,1.71816461521761,1.11284585769844,81.1531159664578,201.692252640565,47.1777116229858,145.890423072577,0,0,0,0,0,0,0,0,0,1_,0,0,0
2002,20.0301733731021,17.9311575395007,14.8929167315224,12.195462394989,8.17808889964746,5.33460735204538,3.41137400932329,2.18110948635228,1.40671420932906,85.5616039958117,230.766515926725,53.5872685066548,177.033607644127,0,0,0,0,0,0,0,0,0,1_,0,0,0
2003,8.42548907842364,16.2823058980185,14.5872822157181,12.1564388583504,9.96884224135517,6.69312697843258,4.3665145548863,2.79279063235605,1.78574141230673,77.0585318698475,244.310878729931,57.574433399271,203.834956414617,0.0663594586821166,0.11558591358237,0.0847206771879857,0.0331946022572548,0.0117817197962747,0.00182294877211304,0.000772811143049689,0.000145882110160831,0.314384013531325,1_,62.8249321802843,10,52.8249321802843
2004,1.40184784019075,6.84898667425072,13.2459151470742,11.9069627233961,9.936943534455,8.15871871388301,5.47849812373209,3.57473584297838,2.286543577618,62.8391521775783,244.717206647236,55.3636279708474,220.164174201337,0.0279134325979969,0.104957262145748,0.0829820276260662,0.0330883848187162,0.0143615589683767,0.00228718381724049,0.000989188255255009,0.000186794011595847,0.266765832240995,1_,57.3859188869735,10,100.210851067258
2005,0.24605777429934,1.13954656963248,5.57175973101006,10.8120632453067,9.73301619231793,8.1326121138753,6.67812299245119,4.48508378076501,2.92674616877654,49.7250085684345,235.753113676582,47.7948255631169,227.074802740885,0.0046442865020167,0.044149206771109,0.0753514520671071,0.0324093403672415,0.0143156042678136,0.00278800767891308,0.00124109651583962,0.0002390939158737,0.175138088085914,1_,51.0219846903504,10,141.232835757608
2006,0.0833699601069091,0.200017637146741,0.927039281907133,4.54798463756126,8.83802100364017,7.96571351298622,6.65675406285816,5.46718104906326,3.67207602144358,38.3581571667134,213.734805774688,37.9893705316517,212.240649163328,0.000815183194018546,0.00734562345071525,0.0316958233265881,0.029429153842966,0.0140218174389664,0.00277908649853608,0.00151285899731832,0.000299981954266939,0.0878995287033756,1_Eiler,45.3319944962113,10,176.56483025382
2007,0.0526010133692003,0.067770516404475,0.162717533140465,0.756701763190559,3.71762380953952,7.23322985862478,6.5201432268811,5.44968694075741,4.47614925751324,28.4366239194207,181.644640019184,28.3175941412212,181.31991527344,0.000276202572987881,0.0012893323407183,0.00527360739060601,0.0123790747924394,0.012732447433161,0.00272205369752937,0.0015080180895611,0.000365668900648591,0.0365464052176516,1_Eiler,36.564561583588,10,203.129391837408
2008,0.141126284784297,0.0427587806790131,0.0551323943543108,0.132819230676077,0.618544853543355,3.04258470660119,5.92058634726198,5.33784770473334,4.46182629304556,19.7532265956791,141.312062150951,19.5796944416844,141.063886724336,0.000174265829271268,0.000436855068352623,0.000925644039145144,0.00205965245457154,0.00535577474999593,0.00247174845663866,0.00147707033184943,0.000364498818426213,0.0132655097482508,1_Eiler,25.7241677429533,10,218.853559580361
2009,1.06704019574485,0.114719992498644,0.0347849490246643,0.0450021707073719,0.108569393627257,0.506230648434273,2.49043453980819,4.84700828566388,4.3702600711119,13.584050246621,101.852902731978,12.4526930648219,100.652515011185,0.000467547818466725,0.00027562708751872,0.00031362921507551,0.000361518193538812,0.000891103317083008,0.0010397158945207,0.00134124698436673,0.000357018522800499,0.0050474070333707,1_Eiler,15.6143131704,10,224.467872750761
2010,10.4935705231109,0.867385146847005,0.0933265408368817,0.0283934378760166,0.0367857753786078,0.0888555683895761,0.414362922825098,2.03884482741076,3.96839474389681,18.0299194865717,71.1529828962883,7.08399108186987,59.8819494175039,0.0035350772288758,0.000739495769300321,0.000197879602125317,0.000122490571407779,0.000156409913106096,0.000172989777516693,0.000564181927322999,0.000324189042826193,0.0058127138324812,1_Eiler,7.92723119179719,10,222.395103942558
2011,22.2118434936551,8.53010715569563,0.705631630245083,0.0761783878871473,0.0232094277123949,0.0301062838311448,0.0727305885984312,0.339226624257235,1.66926496095516,33.6582985528373,56.7711071104991,7.04027515528539,27.2020242329389,0.0347649342112715,0.00559124554035237,0.000530902568103231,7.7283570436633E-05,5.29952294867008E-05,3.03638372239483E-05,9.38695912997816E-05,0.000136366829622388,0.0412779613777965,1_Eiler,11.4087130801384,10,223.803817022696
2012,14.8621488577787,18.05576135493,6.9393780148514,0.575976346623651,0.0622699087949109,0.0189951037072374,0.0246427745974271,0.0595423738260038,0.277735269542228,40.8764500046515,61.5860676203899,15.5985448664376,23.7445436462159,0.0735872767107542,0.0549858661592041,0.00401409546815581,0.000207348537071604,3.34365372270674E-05,1.0287957392371E-05,1.64763550275685E-05,2.26889553592028E-05,0.132877476680192,1_Eiler,22.8597643388644,10,236.663581361561
2013,6.79567112467057,12.08127605771,14.6886494039109,5.66431183852453,0.470815877928706,0.0509630564810468,0.015547985322186,0.0201743080245277,0.0487491725626148,39.8361588251351,77.0002283497688,24.0621197908273,41.1670369924969,0.0492379239402703,0.116389121395949,0.0394757330132157,0.00156773930471179,8.97088092540603E-05,6.4910308658409E-06,5.58256314098239E-06,3.98245351371577E-06,0.206776282510921,1_Eiler,22.7923614041034,10,249.455942765664
2014,5.93283596610072,5.52412572638064,9.82831046972779,11.9897043412889,4.63013449553934,0.385326020920962,0.0417145842609505,0.0127286740302111,0.0165173264017488,38.3613976046513,96.8040689382256,27.7008366814147,73.3616364385096,0.0225138868653232,0.0778770320485458,0.0835586706694106,0.0154175850370494,0.000678278362764215,1.74151601241338E-05,3.52223364430858E-06,1.34934566286937E-06,0.200067739722525,1_Eiler,22.4722932257076,10,261.928235991372
