Year,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Total Amount,Total Weight,Total Spawn Amount,Total Spawn Weight,Caught Age 2,Caught Age 3,Caught Age 4,Caught Age 5,Caught Age 6,Caught Age 7,Caught Age 8,Caught Age 9,Total Caught
2001,21.90116528,18.19024957,14.89557141,9.988740339,6.515704133,4.166661624,2.664013142,1.718164615,1.112845858,81.15311597,201.6922526,47.17771162,145.8904231,0,0,0,0,0,0,0,0,0
2002,20.03017337,17.76327799,14.76680032,12.14537006,8.160020955,5.331810743,3.410184985,2.18086031,1.406714209,85.19521294,229.9917582,53.33004051,176.5562779,0,0,0,0,0,0,0,0,0
2003,8.425489078,16.24578114,14.42018583,12.04037425,9.921819048,6.677357734,4.363795906,2.791704351,1.785537404,76.67204475,243.2216915,57.23962793,203.0004138,0,0,0,0,0,0,0,0,0
2004,1.444818287,6.885241549,13.27831692,11.7965349,9.853465025,8.122446493,5.466576974,3.572692272,2.285654206,62.70574663,243.8808212,55.16264418,219.2135608,0,0,0,0,0,0,0,0.00E+00,0
2005,0.259975893,1.180693822,5.62757916,10.86242097,9.653914536,8.066488821,6.649633095,4.475552416,2.925073034,49.70133175,235.2056988,47.72549311,226.4066949,0,0,0,0,0,0,0,0.00E+00,0
2006,0.088813622,0.212850259,0.966670342,4.607472123,8.893398102,7.903956718,6.604282467,5.444259111,3.6642724,38.38597515,213.3834498,37.99740233,211.8203268,0,0,0,0,0,0,0,0,0
2007,0.054998944,0.072714444,0.174267053,0.791442737,3.772279121,7.281298525,6.471212436,5.407129158,4.457382362,28.48272478,181.4363949,28.3565152,181.0898569,0,0,0,0,0,0,0,0,0
2008,0.145113988,0.045029327,0.059533551,0.142677795,0.647978508,3.088480926,5.961423025,5.298180631,4.426982927,19.81540068,141.2892285,19.63586532,141.0293769,0,0,0,0,0,0,0,0,0
2009,1.082865602,0.118809285,0.036866895,0.048741949,0.116814699,0.530519932,2.528634314,4.880800363,4.337783418,13.68183646,102.2213116,12.53219283,100.9992,0,0,0,0,0,0,0,0,0
2010,10.50912001,0.88657537,0.097272815,0.03018406,0.039906533,0.095639786,0.434352983,2.070270676,3.996061357,18.15938359,71.90589485,7.187521333,60.59955228,0,0,0,0,0,0,0,0,0
2011,22.22320922,8.604139741,0.72586652,0.079640245,0.024712618,0.032672706,0.078303234,0.355618145,1.69499427,33.8191567,57.386814,7.148704306,27.72332151,0,0,0,0,0,0,0,0,0
2012,15.03454763,18.19482482,7.04447381,0.594289243,0.065203918,0.020232981,0.026750149,0.064109266,0.291155512,41.33558733,62.44265555,15.79473253,24.18150492,0,0,0,0,0,0,0,0,0
2013,6.92571659,12.30924651,14.89666263,5.767527348,0.486562879,0.053384453,0.016565364,0.02190117,0.052488228,40.53005516,78.38191492,24.4703828,41.96480227,0,0,0,0,0,0,0,0,0
2014,6.041909416,5.670297159,10.07795866,12.19635581,4.722052009,0.398363993,0.043707493,0.013562573,0.017931161,39.18213828,98.82060297,28.28948855,74.8199469,0,0,0,0,0,0,0,0,0
2015,10.46988969,4.946697046,4.642446663,8.251134684,9.985531578,3.866089197,0.326152852,0.035784669,0.011104095,42.53483047,117.6806077,28.66310293,97.18696776,0,0,0,0,0,0,0,0,0
2016,18.31817229,8.572020669,4.050012998,3.800913853,6.755457714,8.175461789,3.16528612,0.26703137,0.029298009,53.13365481,141.8995153,29.71946959,111.6443099,0,0,0,0,0,0,0,0,0
2017,22.01159125,14.99765099,7.018176938,3.315870192,3.111925061,5.530900981,6.693501987,2.591517089,0.218626795,65.48976128,173.331589,34.57570915,130.5270389,0,0,0,0,0,0,0,0,0
2018,21.62616517,18.02156668,12.27903809,5.74599729,2.714804899,2.547828749,4.528318726,5.480175923,2.121754738,75.06565027,209.1548123,41.97289414,157.3129804,0,0,0,0,0,0,0,0,0
2019,15.42975993,17.7060065,14.75481086,10.0532261,4.704424688,2.22269426,2.08598575,3.707473801,4.48678856,75.15117045,223.6594433,47.9174451,174.8836357,0,0,0,0,0,0,0,0,0
2020,4.62266911,12.63281897,14.49645203,12.0802174,8.230885379,3.851657168,1.819788145,1.707860684,3.035422817,62.47777171,201.9632324,48.63940271,168.1507743,0,0,0,0,0,0,0,0,0
2021,1.605488315,3.784721362,10.34287739,11.86869109,9.890445493,6.738878985,3.153470173,1.489916518,1.398278064,50.27276739,187.5878547,44.70634292,169.0775121,0,0,0,0,0,0,0,0,0
2022,2.438109136,1.314462658,3.098667771,8.468031793,9.717262395,8.097611887,5.517327466,2.58184301,1.219840473,42.45315659,185.5594726,38.73808257,177.9213283,0,0,0,0,0,0,0,0,0
2023,2.303533407,1.996154929,1.076191001,2.536974598,6.933038047,7.955821559,6.629763878,4.517205671,2.113834272,36.06251736,180.8953902,32.54566829,175.6311209,0,0,0,0,0,0,0,0,0
2024,1.325153117,1.885973641,1.634313428,0.881110669,2.077099123,5.676291461,6.513675776,5.427991573,3.698375201,29.11998399,166.6862208,26.52498137,161.7239212,0,0,0,0,0,0,0,0,0
2025,1.531696637,1.08494361,1.544104619,1.338062664,0.721392402,1.700584929,4.647354383,5.332946674,4.444063628,22.34514955,137.3073708,19.96216018,132.8619842,0,0,0,0,0,0,0,0,0
