Year,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Total Amount,Total Weight,Total Spawn Amount,Total Spawn Weight,Caught Age 2,Caught Age 3,Caught Age 4,Caught Age 5,Caught Age 6,Caught Age 7,Caught Age 8,Caught Age 9,Total Caught
2001,21.9011652757507,18.1902495729312,14.8955714062782,9.98874033850847,6.51570413348975,4.16666162410338,2.66401314247999,1.71816461521761,1.11284585769844,81.1531159664578,201.692252640565,47.1777116229858,145.890423072577,0,0,0,0,0,0,0,0,0
2002,20.0301733731021,17.9311575395007,14.8929167315224,12.195462394989,8.17808889964746,5.33460735204538,3.41137400932329,2.18110948635228,1.40671420932906,85.5616039958117,230.766515926725,53.5872685066548,177.033607644127,0,0,0,0,0,0,0,0,0
2003,8.42548907842364,16.3993189300424,14.6807901158754,12.193288931127,9.98480011078358,6.69565288354705,4.36760709471545,2.79299681168391,1.78574141230673,77.3256853685051,244.887055009883,57.7643788018852,204.196202176337,0,0,0,0,0,0,0,0,0
2004,1.40184784019075,6.8982070182281,13.4266267375596,12.0196143473504,9.98302062907903,8.17486291403496,5.48193692769523,3.57589424580512,2.28671238297437,63.2487230429176,245.843358507226,55.7124463461009,221.007643040283,0,0,0,0,0,0,0,0,0
2005,0.24026402034465,1.14773593790012,5.64777422692171,10.9927922201392,9.84082790631313,8.1734059976389,6.6930116699171,4.48823034913792,2.92769458879525,50.1517369171079,237.303389465531,48.2080500824289,228.521350543148,0,0,0,0,0,0,0,0,0
2006,0.0788181915910587,0.196711542314319,0.939686708771625,4.62400644602203,9.00013705282432,8.05698844264656,6.69181884765899,5.47977448487095,3.67465221373714,38.742593930437,215.458403010506,38.3774826259345,213.95407723825,0,0,0,0,0,0,0,0,0
2007,0.0477595850494024,0.0645308773575921,0.161053789178134,0.769350406729963,3.78581627978906,7.36868898706391,6.59650421518862,5.47879788460528,4.4864598906959,28.7589619156579,183.420107232406,28.646726134094,183.104916336056,0,0,0,0,0,0,0,0,0
2008,0.125964804851784,0.0388334289725345,0.0524775226253626,0.131393272677187,0.628667518740271,3.098140780457,6.03109212082293,5.40020714290773,4.48566031802493,19.9924369100797,142.999233473626,19.8365598862166,142.772774166275,0.000195504828489646,0.00040187884132007,0.000969594020509611,0.00244915342968268,0.00661986512190226,0.0030650331036223,0.0018615063756024,0.000508879598538004,0.016071415319667
2009,0.951613342360913,0.102422273920325,0.0315799541393781,0.0428129848724708,0.107366788904713,0.514473057648343,2.53575262614791,4.93733433466339,4.42131566088994,13.6446710235474,103.246431595528,12.6355305533984,102.175052810098,0.000515639479338148,0.000241842883267901,0.000315931046443319,0.000418277915498023,0.00109928582715415,0.00128868297582561,0.00170194940661253,0.000501579963485536,0.00608318949762522
2010,9.73582688361088,0.773759007781645,0.0832914012188393,0.0257640229797943,0.0349842318067274,0.0878641229761274,0.421083643210588,2.07588580218612,4.04234745801674,17.2808065737875,71.2895426771777,7.14144190604199,60.860120232073,0.00389544848629412,0.000637855030861814,0.000190121169192994,0.00013629104218069,0.000187741192015941,0.000213996947812866,0.000715578968274773,0.000458587589283269,0.00643562042591647
2011,22.249043232766,7.9162233378392,0.629232973424964,0.067952016825307,0.0210528313987876,0.0286295126924179,0.0719146405438789,0.34471878189536,1.69959154612773,33.0283588735136,56.032188694024,6.69535737714306,26.9902211140207,0.0398538044900592,0.00481873773054582,0.00050144020202052,8.20173027679105E-05,6.11733055273359E-05,3.65474029390238E-05,0.000118828073313978,0.000192811626907336,0.0456653601340811
2012,15.0970413431287,18.0907484684538,6.43759710590708,0.513350105431291,0.055526357609319,0.0172286848278607,0.0234325575045123,0.0588726911824754,0.282231867901313,40.5760291819464,60.6472280347097,15.1460941834094,23.226993276207,0.0910769089970364,0.0492998513721187,0.00378817866784573,0.000216318745796114,3.68129074403707E-05,1.19085503943626E-05,2.02940159673282E-05,3.20180373567584E-05,0.144482291293956
2013,6.74282974461197,12.2754392042429,14.711680685856,5.25201521950385,0.41947925705045,0.0454402591636738,0.014101258107089,0.0191829884867049,0.0482008827875556,39.5283694998102,75.5866017993837,23.7054840159056,39.6293069188254,0.0618000444400096,0.11266372519356,0.038756341543965,0.00163420095751806,9.70931949462386E-05,7.16633439435055E-06,6.61257141182201E-06,5.46819066605308E-06,0.214970652426471
2014,5.80363702726402,5.48261044752436,9.98257988973599,12.0022998636709,4.29163531668935,0.34328284754912,0.0371917432654982,0.0115439499877148,0.0157057026100062,37.9704867882969,95.3562765909683,27.4290285593235,71.8643730780201,0.027601910095987,0.076447733024905,0.0885689041993021,0.0167192880839125,0.000733499963517636,1.89010418024621E-05,3.97931707675117E-06,1.78174696082567E-06,0.210095997473464
