Year,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Total Amount,Total Weight,Total Spawn Amount,Total Spawn Weight,Caught Age 2,Caught Age 3,Caught Age 4,Caught Age 5,Caught Age 6,Caught Age 7,Caught Age 8,Caught Age 9,Total Caught
2001,21.90116528,18.19024957,14.89557141,9.988740339,6.515704133,4.166661624,2.664013142,1.718164615,1.112845858,81.15311597,201.6922526,47.17771162,145.8904231,0,0,0,0,0,0,0,0,0
2002,20.03017337,17.93115754,14.89291673,12.19546239,8.1780889,5.334607352,3.411374009,2.181109486,1.406714209,85.561604,230.7665159,53.58726851,177.0336076,0,0,0,0,0,0,0,0,0
2003,8.425489078,16.39931893,14.68079012,12.19328893,9.984800111,6.695652884,4.367607095,2.792996812,1.785741412,77.32568537,244.887055,57.7643788,204.1962022,0,0,0,0,0,0,0,0,0
2004,1.40184784,6.898207018,13.42662674,12.01961435,9.983020629,8.174862914,5.481936928,3.575894246,2.286712383,63.24872304,245.8433585,55.71244635,221.007643,0,0,0,0,0,0,0,0,0
2005,0.24026402,1.147735938,5.647774227,10.99279222,9.840827906,8.173405998,6.69301167,4.488230349,2.927694589,50.15173692,237.3033895,48.20805008,228.5213505,0,0,0,0,0,0,0,0,0
2006,0.078818192,0.196711542,0.939686709,4.624006446,9.000137053,8.056988443,6.691818848,5.479774485,3.674652214,38.74259393,215.458403,38.37748263,213.9540772,0,0,0,0,0,0,0,0,0
2007,0.047759585,0.064530877,0.161053789,0.769350407,3.78581628,7.368688987,6.596504215,5.478797885,4.486459891,28.75896192,183.4201072,28.64672613,183.1049163,0,0,0,0,0,0,0,0,0
2008,0.125964805,0.039102241,0.052833414,0.13185969,0.629890838,3.099564214,6.032972284,5.400760864,4.485660318,19.99860867,143.0297021,19.84252606,142.8025572,0,0,0,0,0,0,0,0,0
2009,0.951613342,0.10313126,0.032014207,0.043256341,0.107957583,0.515711,2.537708543,4.939379941,4.421769009,13.65254123,103.2911021,12.64295941,102.2186009,0,0,0,0,0,0,0,0,0
2010,9.722847583,0.779115108,0.084436734,0.026211016,0.035415296,0.088388194,0.422228455,2.077700026,4.044022259,17.28036467,71.33092796,7.151072188,60.90891008,0,0,0,0,0,0,0,0,0
2011,22.24961375,7.960394323,0.637885499,0.069130951,0.021459765,0.028995592,0.072366132,0.345691421,1.701076907,33.08661434,56.14924881,6.72922633,27.06181505,0,0,0,0,0,0,0,0,0
2012,15.10873649,18.21644302,6.517419639,0.522256475,0.056599635,0.017569769,0.023739583,0.059248378,0.283028198,40.80504119,61.05709185,15.28459926,23.42233238,0,0,0,0,0,0,0,0,0
2013,6.760691496,12.36998721,14.91436211,5.336011889,0.427587437,0.046339862,0.014384911,0.019436327,0.048508469,39.93730971,76.48937196,24.00875219,40.1676576,0,0,0,0,0,0,0,0,0
2014,5.85240172,5.53518604,10.12768894,12.21084692,4.368757033,0.350078985,0.03793987,0.011777369,0.015913118,38.51059,96.85493529,27.86505747,73.07748709,0,0,0,0,0,0,0,0,0
2015,10.02396183,4.791541267,4.531827035,8.291850393,9.997395896,3.576835735,0.286620431,0.031062538,0.009642494,41.54073762,115.2348143,28.21463975,95.45391172,0,0,0,0,0,0,0,0,0
2016,17.93484033,8.206925818,3.92298219,3.710346161,6.788792917,8.185175471,2.928465415,0.234664961,0.025431855,51.93762512,138.8608848,29.11472544,109.4355943,0,0,0,0,0,0,0,0,0
2017,21.85772244,14.68380533,6.719262556,3.211866163,3.037774506,5.558193537,6.701454877,2.397624695,0.19212742,64.35983152,169.8165539,33.81635391,127.8077803,0,0,0,0,0,0,0,0,0
2018,21.91648308,17.89558955,12.022083,5.501266892,2.629653602,2.487119409,4.55066398,5.486687198,1.963009072,74.45255578,205.8402512,41.18386133,154.1520431,0,0,0,0,0,0,0,0,0
2019,16.65364893,17.9436987,14.65166951,9.842849065,4.504056386,2.152978274,2.036281147,3.725768548,4.492119542,76.0030701,223.0486553,47.44723792,173.0109618,0,0,0,0,0,0,0,0,0
2020,5.509654951,13.63485453,14.69105795,11.99577241,8.058643228,3.687609477,1.762709524,1.667165997,3.050401289,64.05786936,202.4194744,48.79257555,166.7038397,0,0,0,0,0,0,0,0,0
2021,1.805387589,4.510923947,11.16327472,12.02802094,9.821307781,6.597859039,3.019159284,1.443184496,1.364960072,51.75407787,188.5809549,45.46057336,168.2103208,0,0,0,0,0,0,0,0,0
2022,2.662672823,1.478126341,3.693232161,9.139716319,9.847710639,8.041006716,5.401870099,2.471878554,1.181579529,43.91779318,187.8532542,39.77741076,179.0591909,0,0,0,0,0,0,0,0,0
2023,2.429249756,2.180012125,1.210187492,3.023762748,7.482966825,8.062623548,6.583419484,4.422677175,2.02380299,37.41870214,184.0677618,33.65740883,178.3576479,0,0,0,0,0,0,0,0,0
2024,1.232699587,1.988901482,1.784842969,0.990817717,2.475647552,6.126535064,6.601117849,5.390047992,3.620981814,30.21159202,170.7257744,27.6274731,165.5740123,0,0,0,0,0,0,0,0,0
2025,1.288942883,1.009249061,1.628374808,1.461305828,0.811212935,2.026888784,5.015982666,5.404538188,4.412998052,23.05949321,142.0156142,20.94025083,137.7551448,0,0,0,0,0,0,0,0,0
2026,2.850908199,1.055297177,0.826303244,1.333200533,1.196416021,0.664164977,1.659476181,4.106739266,4.424861621,18.11736722,105.9185387,14.57354978,101.1523852,0,0,0,0,0,0,0,0,0
2027,12.01958895,2.334126216,0.864004252,0.676519877,1.091532276,0.97954259,0.543772292,1.358664183,3.362313732,23.23006437,76.63553294,9.870611461,61.69030355,0,0,0,0,0,0,0,0,0
2028,22.22769598,9.840807112,1.911020915,0.707386852,0.553887628,0.893671043,0.801981642,0.445203098,1.11238015,38.49403442,69.46802433,10.9637307,37.26073457,0,0,0,0,0,0,0,0,0
2029,15.29575498,18.19849827,8.056971418,1.564611593,0.57915937,0.453484835,0.731675966,0.656607034,0.364501468,45.90126494,82.05557421,19.89486654,42.15346439,0,0,0,0,0,0,0,0,0
2030,9.301639312,12.523105,14.8996702,6.596490276,1.280995628,0.474175587,0.371281981,0.599045614,0.537584371,46.58398796,100.8641141,28.04086211,61.9065946,0,0,0,0,0,0,0,0,0
2031,10.51667051,7.615538159,10.25305119,12.1988182,5.400749452,1.048790515,0.388222136,0.303979976,0.490457067,48.2162772,121.6546375,31.84122737,91.48216375,0,0,0,0,0,0,0,0,0
2032,15.3474245,8.610321565,6.235075292,8.394488318,9.987547611,4.421759666,0.858677048,0.317849402,0.248877754,54.42202116,142.3563904,33.52242082,112.0715223,0,0,0,0,0,0,0,0,0
2033,21.39112412,12.56540842,7.049535059,5.104847889,6.872825743,8.177112377,3.620230621,0.703025306,0.26023308,65.74434262,170.5300563,36.66060727,130.1275082,0,0,0,0,0,0,0,0,0
2034,21.55898267,17.51357116,10.2876863,5.771671148,4.179495957,5.626993796,6.694853375,2.963994143,0.575588438,75.17283698,203.0954716,42.79953148,154.4100572,0,0,0,0,0,0,0,0,0
2035,15.6133715,17.65100212,14.33889931,8.422845151,4.725444665,3.421881872,4.606992868,5.481282345,2.426713157,76.68843298,232.0181669,49.38178056,183.6656407,0,0,0,0,0,0,0,0,0
2036,5.432553135,12.7831474,14.45141825,11.73969783,6.896042354,3.86886687,2.801599922,3.77188674,4.487694422,66.23290693,233.3891946,51.51849644,198.7153521,0,0,0,0,0,0,0,0,0
2037,0.917916045,4.44779832,10.4659559,11.83182055,9.611651642,5.64600195,3.167560286,2.293756014,3.088159671,51.47062038,204.8465201,46.23561399,186.3590553,0,0,0,0,0,0,0,0,0
2038,0.344650693,0.751526094,3.641549268,8.568799956,9.68707535,7.869354788,4.622555428,2.593379018,1.877968589,39.95685918,184.1029642,38.50813559,178.2421619,0,0,0,0,0,0,0,0,0
2039,0.771536212,0.282176122,0.615297525,2.981448374,7.015540041,7.931106496,6.442882771,3.784628287,2.123279157,31.94789498,170.7452719,30.91221121,168.9252989,0,0,0,0,0,0,0,0,0
2040,1.298433898,0.631680424,0.231026269,0.503763006,2.441003473,5.743838381,6.493440794,5.274986263,3.098591567,25.71676408,155.1008339,24.05628471,153.014444,0,0,0,0,0,0,0,0,0
2041,2.325157315,1.063067763,0.517176189,0.189148311,0.412446265,1.998524612,4.702657123,5.316379672,4.318793476,20.84335073,131.1934534,17.88322429,127.3676357,0,0,0,0,0,0,0,0,0
2042,5.859731863,1.903677799,0.87036627,0.423428051,0.154861539,0.337682442,1.63625356,3.850210008,4.352683532,19.38889506,98.39187439,12.40325105,89.92068605,0,0,0,0,0,0,0,0,0
2043,16.84513568,4.797542681,1.558599558,0.712595632,0.346673567,0.126789905,0.276471,1.33965111,3.152285339,29.15574448,75.57226559,9.600117539,53.0092775,0,0,0,0,0,0,0,0,0
2044,21.17009958,13.79163062,3.927895732,1.27607339,0.583423958,0.28383231,0.103806794,0.22635531,1.096813562,42.45993126,71.33427009,13.60843722,34.47850935,0,0,0,0,0,0,0,0,0
