Year,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Total Amount,Total Weight,Total Spawn Amount,Total Spawn Weight,Caught Age 2,Caught Age 3,Caught Age 4,Caught Age 5,Caught Age 6,Caught Age 7,Caught Age 8,Caught Age 9,Total Caught,1_Eiler,Revenue,Expenses,Accumulated Profit
2001,21.9011652757507,15.2787552768678,13.2426087486467,9.52500297481895,6.36439751682561,4.1432592503629,2.65441573871586,1.71613012052616,1.11284585769844,75.9385807602132,191.599906392818,43.7495160962992,140.229726761257,1.8412004688766,2.30633883303394,0.990721226595673,0.306099356167691,0.0994421461724819,0.0164184384161457,0.00677903640492327,0.00145101497520897,5.56845052064266,1_Eiler,972.307668089467,200,772.307668089467
2002,20.0301733731021,15.0611329865799,11.1210414305227,10.3387741444536,7.61731938956984,5.18146151958989,3.37999293871055,2.17067842908769,1.40504850595819,76.3056227175744,209.12212050038,46.5206745650778,162.671481041833,1.81497540959296,1.93684569270498,1.07536375883215,0.36635935368694,0.124359983936081,0.0209063731433694,0.00857458762489147,0.00183201151258882,5.34921717103395,1_Eiler,1023.37158249265,200,1595.67925058211
2003,10.8718936669879,13.7744773448454,10.9626393576678,8.68242336413016,8.26810710328694,6.20150567200399,4.22693881559073,2.76402737352556,1.7772011849371,67.5292138829756,213.173190678335,47.5775536720314,177.061249476285,1.6599241028657,1.90925831481046,0.903082250774569,0.397659362783481,0.148842009698254,0.0261450132397745,0.0109184274346221,0.00231725311772841,5.05814673472459,1_Eiler,1032.81205121661,200,2428.49130179872
2004,3.39033650033205,7.47645316004073,10.0261134143399,8.55875564228294,6.94349303773314,6.73133296313915,5.05907164243004,3.45662692329991,2.26299421305474,53.9051774966526,206.680912155218,44.7713917334322,184.047721541354,0.900966656926711,1.74615252559339,0.890219237775763,0.333951288049815,0.161558366495531,0.0312920297271481,0.0136543257827697,0.00295066784787679,4.080745098199,1_Eiler,854.153260523786,200,3082.64456232251
2005,1.39939712300941,2.33148822256019,5.44193187465073,7.82759077950783,6.84459369481628,5.65292188167706,5.49129477754188,4.1371129342176,2.83004676402297,41.9563780520039,193.165184901301,38.3028504427843,182.616144261846,0.280961186351177,0.947769359305034,0.814168810116344,0.329194667315139,0.135675479155719,0.0339654726330059,0.0163423733765254,0.00369003506346498,2.56176738331641,1_Eiler,653.56003641945,200,3536.20459874196
2006,0.895619801996497,0.96234633661334,1.69703465027178,4.24862696085213,6.25986775815116,5.5724047332303,4.61154730819156,4.49056828119117,3.38718158820063,32.1251974186986,170.970543649884,30.408997518341,167.045196971058,0.115969690860668,0.295556335554045,0.44191113904433,0.301071937351374,0.133742991333594,0.0285239438488691,0.017738588404739,0.00441647077556274,1.33893109717318,1_Eiler,530.617718208192,200,3866.82231695015
