Year,Age 2,Age 3,Age 4,Age 5,Age 6,Age 7,Age 8,Age 9,Age 10,Total Amount,Total Weight,Total Spawn Amount,Total Spawn Weight,Caught Age 2,Caught Age 3,Caught Age 4,Caught Age 5,Caught Age 6,Caught Age 7,Caught Age 8,Caught Age 9,Total Caught
2001,21.9011652757507,18.1902495729312,14.8955714062782,9.98874033850847,6.51570413348975,4.16666162410338,2.66401314247999,1.71816461521761,1.11284585769844,81.1531159664578,201.692252640565,47.1777116229858,145.890423072577,0,0,0,0,0,0,0,0,0
2002,20.0301733731021,17.9311575395007,14.8929167315224,12.195462394989,8.17808889964746,5.33460735204538,3.41137400932329,2.18110948635228,1.40671420932906,85.5616039958117,230.766515926725,53.5872685066548,177.033607644127,0,0,0,0,0,0,0,0,0
2003,8.42548907842364,16.3993189300424,14.6807901158754,12.193288931127,9.98480011078358,6.69565288354705,4.36760709471545,2.79299681168391,1.78574141230673,77.3256853685051,244.887055009883,57.7643788018852,204.196202176337,0,0,0,0,0,0,0,0,0
2004,1.40184784019075,6.8982070182281,13.4266267375596,12.0196143473504,9.98302062907903,8.17486291403496,5.48193692769523,3.57589424580512,2.28671238297437,63.2487230429176,245.843358507226,55.7124463461009,221.007643040283,0,0,0,0,0,0,0,0,0
2005,0.24026402034465,1.14773593790012,5.64777422692171,10.9927922201392,9.84082790631313,8.1734059976389,6.6930116699171,4.48823034913792,2.92769458879525,50.1517369171079,237.303389465531,48.2080500824289,228.521350543148,0,0,0,0,0,0,0,0,0
2006,0.0788181915910587,0.196711542314319,0.939686708771625,4.62400644602203,9.00013705282432,8.05698844264656,6.69181884765899,5.47977448487095,3.67465221373714,38.742593930437,215.458403010506,38.3774826259345,213.95407723825,0,0,0,0,0,0,0,0,0
2007,0.0477595850494024,0.0645308773575921,0.161053789178134,0.769350406729963,3.78581627978906,7.36868898706391,6.59650421518862,5.47879788460528,4.4864598906959,28.7589619156579,183.420107232406,28.646726134094,183.104916336056,0,0,0,0,0,0,0,0,0
2008,0.125964804851784,0.0346491912481666,0.048257944988861,0.126696194081237,0.617358761121085,3.08417845742082,6.01452588864808,5.39529996710022,4.48566031802493,19.9325915274852,142.714376741514,19.7796505380115,142.496794238041,0.00268399450822825,0.00613104471611358,0.0107102698068577,0.0253036237378169,0.0640640958532757,0.0328750073580202,0.0181147593362292,0.00499823716383758,0.164881032480379
2009,0.951613342360913,0.0913864433565064,0.0259116074913528,0.0379630805054072,0.1016662950101,0.502941624958025,2.51739097822332,4.91929820258874,4.41729800514558,13.5654695796399,102.826471850483,12.5629806941025,101.771078889417,0.00707897365738236,0.00329200143587832,0.00320921112004094,0.00416698658504807,0.0104470285733264,0.0137598953706902,0.0165165799096309,0.00492206308274043,0.0633927397347377
2010,9.8564850473379,0.690387754827927,0.0683412675731596,0.0203838858336341,0.0304631545575882,0.0828241451097068,0.410514737302556,2.05898139664848,4.02758072202065,17.2459621112116,70.8468129761324,7.03061493294511,60.379592988774,0.0534787934654675,0.00868257791631283,0.00172315292162937,0.00124859036485106,0.00172041081426628,0.00224384685663574,0.00691304518849702,0.0044878127673348,0.0804982302949946
2011,22.242420599042,7.15079988837088,0.51629073798033,0.053762029098427,0.0163568776918876,0.024817317610782,0.067603337017209,0.335761196599085,1.68575138945157,32.0935633728622,54.3281065976366,6.17248468203866,26.0204306786631,0.553915024808614,0.0655933774594696,0.00454477611726113,0.000670417761447849,0.000515501627479722,0.000369515443613299,0.00112732068799239,0.00187838236655815,0.628614316272436
